match_id,date,season,home_team,away_team,home_elo,away_elo,elo_diff,home_form_l5,away_form_l5,home_form_l5_home,away_form_l5_away,home_avg_goals_l10,away_avg_goals_l10,home_avg_conceded_l10,away_avg_conceded_l10,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,home_advantage,home_shots_efficiency_l10,away_shots_efficiency_l10,home_corner_dominance_l10,away_corner_dominance_l10,home_discipline_risk_l10,away_discipline_risk_l10,home_first_half_strength_l10,away_first_half_strength_l10,home_defensive_pressure_l10,away_defensive_pressure_l10,outcome
D1_20210918_Mainz_Freiburg,2021-09-18,2122,Mainz,Freiburg,1530.1,1530.5,-0.40000000000009095,0.75,0.75,1.0,0.75,1.5,1.5,0.5,1.0,0.33,0.33,0.33,0,0.6772,0.3529,0.4348,0.5333,0.4286,1.75,1.75,0.6667,0.6667,13.0,12.25,1
D1_20210918_FC Koln_RB Leipzig,2021-09-18,2122,FC Koln,RB Leipzig,1516.8,1471.8,45.0,0.625,0.25,1.0,0.0,2.0,1.25,1.5,1.5,0.33,0.33,0.33,0,0.5315,0.2951,0.3016,0.4688,0.5652,3.25,1.0,0.25,0.2,15.75,11.75,1
D1_20210919_Stuttgart_Leverkusen,2021-09-19,2122,Stuttgart,Leverkusen,1484.1,1513.3,-29.200000000000045,0.375,0.625,0.5,0.75,2.0,3.0,2.25,1.5,0.33,0.33,0.33,0,0.3805,0.4478,0.3774,0.5682,0.6562,3.0,2.5,0.5,0.5833,11.25,11.75,2
D1_20210919_Dortmund_Union Berlin,2021-09-19,2122,Dortmund,Union Berlin,1533.3,1505.5,27.799999999999955,0.75,0.625,1.0,0.5,3.25,1.25,2.25,1.0,0.33,0.33,0.33,0,0.8194,0.4203,0.5,0.6316,0.4,2.25,2.25,0.3077,0.8,12.5,7.75,0
D1_20210919_Wolfsburg_Ein Frankfurt,2021-09-19,2122,Wolfsburg,Ein Frankfurt,1558.8,1483.9,74.89999999999986,1.0,0.375,1.0,0.25,1.5,1.0,0.25,1.75,0.33,0.33,0.33,0,0.712,0.3529,0.2581,0.5676,0.5135,2.25,1.75,0.3333,0.5,13.5,10.0,1
D1_20210924_Greuther Furth_Bayern Munich,2021-09-24,2122,Greuther Furth,Bayern Munich,1445.5,1553.3,-107.79999999999995,0.1,0.9,0.25,0.75,0.6,4.0,2.6,0.8,0.33,0.33,0.33,0,0.1257,0.3019,0.4526,0.375,0.6585,2.2,0.4,0.0,0.4,14.8,8.0,2
D1_20210925_Union Berlin_Bielefeld,2021-09-25,2122,Union Berlin,Bielefeld,1495.1,1477.7,17.399999999999864,0.5,0.4,0.6667,0.25,1.4,0.6,1.6,1.0,0.33,0.33,0.33,0,0.6007,0.5273,0.3333,0.449,0.3864,2.4,2.2,0.5714,0.6667,8.2,10.4,0
D1_20210925_M'gladbach_Dortmund,2021-09-25,2122,M'gladbach,Dortmund,1473.8,1543.7,-69.90000000000009,0.3,0.8,0.75,0.5,1.0,3.4,1.8,2.2,0.33,0.33,0.33,0,0.4405,0.3088,0.4024,0.4792,0.5745,1.4,2.2,0.4,0.3529,11.8,12.4,0
D1_20210925_RB Leipzig_Hertha,2021-09-25,2122,RB Leipzig,Hertha,1478.1,1491.6,-13.5,0.3,0.4,0.5,0.3333,1.2,1.4,1.4,2.4,0.33,0.33,0.33,0,0.6259,0.3457,0.3725,0.6,0.46,1.0,1.4,0.1667,0.4286,11.8,13.0,0
D1_20210925_Ein Frankfurt_FC Koln,2021-09-25,2122,Ein Frankfurt,FC Koln,1491.3,1510.5,-19.200000000000045,0.4,0.6,0.5,0.25,1.0,1.8,1.6,1.4,0.33,0.33,0.33,0,0.4822,0.2647,0.32,0.4792,0.413,2.6,3.2,0.6,0.2222,10.8,13.8,1
D1_20210925_Hoffenheim_Wolfsburg,2021-09-25,2122,Hoffenheim,Wolfsburg,1487.1,1551.3,-64.20000000000005,0.4,0.9,0.25,1.0,1.6,1.4,1.4,0.4,0.33,0.33,0.33,0,0.3026,0.322,0.3636,0.5283,0.5833,1.8,2.2,0.375,0.2857,12.0,14.4,0
D1_20210925_Leverkusen_Mainz,2021-09-25,2122,Leverkusen,Mainz,1532.5,1525.6,6.900000000000091,0.7,0.7,0.5,0.5,3.0,1.2,1.4,0.4,0.33,0.33,0.33,0,0.5279,0.4,0.3443,0.675,0.5283,3.2,1.8,0.6,0.6667,11.6,13.6,0
D1_20210926_Bochum_Stuttgart,2021-09-26,2122,Bochum,Stuttgart,1459.2,1464.9,-5.7000000000000455,0.2,0.3,0.5,0.25,0.8,1.8,2.6,2.4,0.33,0.33,0.33,0,0.3896,0.26,0.4471,0.4615,0.5192,2.2,2.8,0.25,0.5556,12.2,11.2,1
D1_20210926_Freiburg_Augsburg,2021-09-26,2122,Freiburg,Augsburg,1535.0,1483.8,51.200000000000045,0.7,0.4,0.75,0.5,1.2,0.4,0.8,1.6,0.33,0.33,0.33,0,0.6027,0.4151,0.2444,0.44,0.3864,1.6,1.4,0.6667,0.5,13.4,9.2,0
D1_20211001_FC Koln_Greuther Furth,2021-10-01,2122,FC Koln,Greuther Furth,1514.1,1429.8,84.29999999999995,0.5,0.1,0.8333,0.0,1.6667,0.6667,1.3333,2.6667,0.33,0.33,0.33,0,0.7285,0.2889,0.3438,0.4237,0.4211,3.1667,2.5,0.3,0.0,13.3333,14.5,0
D1_20211002_Wolfsburg_M'gladbach,2021-10-02,2122,Wolfsburg,M'gladbach,1537.0,1488.5,48.5,0.7,0.4,0.8333,0.0,1.3333,1.0,0.8333,1.5,0.33,0.33,0.33,0,0.5967,0.3291,0.2927,0.5455,0.5185,2.1667,1.8333,0.375,0.5,14.1667,12.3333,2
D1_20211002_Stuttgart_Hoffenheim,2021-10-02,2122,Stuttgart,Hoffenheim,1469.2,1501.4,-32.200000000000045,0.2,0.4,0.3333,0.5,1.5,1.8333,2.0,1.3333,0.33,0.33,0.33,0,0.3495,0.4409,0.3143,0.4754,0.55,3.1667,1.8333,0.5556,0.3636,11.8333,11.5,0
D1_20211002_RB Leipzig_Bochum,2021-10-02,2122,RB Leipzig,Bochum,1490.2,1455.0,35.200000000000045,0.5,0.3,0.6667,0.0,2.0,0.6667,1.1667,2.1667,0.33,0.33,0.33,0,0.7384,0.3939,0.2656,0.6032,0.5208,1.0,2.1667,0.3333,0.25,13.0,12.1667,0
D1_20211002_Dortmund_Augsburg,2021-10-02,2122,Dortmund,Augsburg,1529.1,1474.3,54.799999999999955,0.6,0.4,1.0,0.3333,2.8333,0.3333,2.0,1.8333,0.33,0.33,0.33,0,0.8662,0.3667,0.2453,0.5283,0.3774,3.0,1.3333,0.3529,0.5,13.1667,9.5,0
D1_20211002_Hertha_Freiburg,2021-10-02,2122,Hertha,Freiburg,1479.5,1544.4,-64.90000000000009,0.4,0.8,0.5,0.6667,1.1667,1.5,3.0,0.6667,0.33,0.33,0.33,0,0.3995,0.3929,0.4306,0.4528,0.4746,1.6667,1.3333,0.4286,0.7778,12.1667,13.3333,2
D1_20211003_Mainz_Union Berlin,2021-10-03,2122,Mainz,Union Berlin,1514.4,1505.9,8.5,0.5,0.6,0.8333,0.25,1.0,1.3333,0.5,1.3333,0.33,0.33,0.33,0,0.6077,0.3467,0.4583,0.5,0.4655,2.0,2.1667,0.6667,0.5,13.1667,7.6667,2
D1_20211003_Bayern Munich_Ein Frankfurt,2021-10-03,2122,Bayern Munich,Ein Frankfurt,1569.0,1487.7,81.29999999999995,1.0,0.5,1.0,0.3333,3.8333,1.0,0.8333,1.5,0.33,0.33,0.33,0,0.8916,0.4393,0.2692,0.6,0.4918,1.0,2.5,0.4348,0.6667,9.6667,12.1667,2
D1_20211003_Bielefeld_Leverkusen,2021-10-03,2122,Bielefeld,Leverkusen,1466.9,1543.8,-76.89999999999986,0.3,0.8,0.5,0.8333,0.5,2.6667,1.0,1.1667,0.33,0.33,0.33,0,0.3139,0.3188,0.4342,0.3962,0.6735,1.8333,3.3333,0.6667,0.5625,10.1667,11.6667,2
D1_20211015_Hoffenheim_FC Koln,2021-10-15,2122,Hoffenheim,FC Koln,1488.5,1522.4,-33.90000000000009,0.3,0.7,0.5,0.3333,1.7143,1.8571,1.5714,1.2857,0.33,0.33,0.33,0,0.4762,0.3133,0.3148,0.5068,0.4853,1.7143,2.8571,0.3333,0.2308,11.8571,14.0,0
D1_20211016_Union Berlin_Wolfsburg,2021-10-16,2122,Union Berlin,Wolfsburg,1526.7,1514.5,12.200000000000045,0.7,0.5,0.75,0.6667,1.4286,1.2857,1.2857,1.1429,0.33,0.33,0.33,0,0.5101,0.4138,0.3483,0.4923,0.5231,2.4286,3.2857,0.4,0.4444,8.7143,13.5714,0
D1_20211016_Dortmund_Mainz,2021-10-16,2122,Dortmund,Mainz,1538.4,1493.6,44.80000000000018,0.8,0.5,1.0,0.3333,2.7143,1.0,1.8571,0.7143,0.33,0.33,0.33,0,0.8041,0.3364,0.3488,0.5556,0.4783,2.7143,2.4286,0.3684,0.7143,13.5714,12.1429,0
D1_20211016_Ein Frankfurt_Hertha,2021-10-16,2122,Ein Frankfurt,Hertha,1511.3,1461.9,49.399999999999864,0.6,0.4,0.5,0.25,1.1429,1.1429,1.4286,2.8571,0.33,0.33,0.33,0,0.5282,0.2892,0.3676,0.4306,0.4242,2.2857,1.8571,0.625,0.375,11.2857,12.5714,2
D1_20211016_Freiburg_RB Leipzig,2021-10-16,2122,Freiburg,RB Leipzig,1562.0,1500.2,61.799999999999955,0.8,0.5,0.8333,0.1667,1.5714,2.1429,0.7143,1.0,0.33,0.33,0.33,0,0.4789,0.4321,0.4211,0.5139,0.5882,1.1429,1.0,0.7273,0.2667,13.8571,13.4286,1
D1_20211016_Greuther Furth_Bochum,2021-10-16,2122,Greuther Furth,Bochum,1421.6,1444.9,-23.300000000000182,0.0,0.1,0.1667,0.0,0.7143,0.5714,2.7143,2.2857,0.33,0.33,0.33,0,0.3025,0.3521,0.2603,0.3788,0.5283,2.2857,2.0,0.2,0.25,14.7143,11.8571,2
D1_20211016_M'gladbach_Stuttgart,2021-10-16,2122,M'gladbach,Stuttgart,1510.9,1482.1,28.800000000000182,0.6,0.4,0.8333,0.3333,1.2857,1.7143,1.4286,1.8571,0.33,0.33,0.33,0,0.7104,0.3465,0.4476,0.5312,0.5135,2.0,2.7143,0.5556,0.5,13.0,11.8571,1
D1_20211017_Augsburg_Bielefeld,2021-10-17,2122,Augsburg,Bielefeld,1465.0,1449.8,15.200000000000045,0.3,0.2,0.3333,0.1667,0.4286,0.4286,1.8571,1.4286,0.33,0.33,0.33,0,0.3824,0.2759,0.3165,0.3651,0.3898,1.5714,2.1429,0.6667,0.6667,9.4286,9.7143,1
D1_20211017_Leverkusen_Bayern Munich,2021-10-17,2122,Leverkusen,Bayern Munich,1560.8,1545.3,15.5,0.8,0.8,0.6667,0.8333,2.8571,3.4286,1.0,1.0,0.33,0.33,0.33,0,0.3843,0.4211,0.4531,0.6727,0.6557,3.0,1.1429,0.55,0.4583,11.8571,9.4286,2
D1_20211022_Mainz_Augsburg,2021-10-22,2122,Mainz,Augsburg,1483.9,1459.9,24.0,0.3,0.4,0.625,0.25,1.0,0.5,1.0,1.75,0.33,0.33,0.33,0,0.5964,0.3516,0.3056,0.4545,0.4156,2.625,1.75,0.625,0.75,11.5,10.125,0
D1_20211023_Bayern Munich_Hoffenheim,2021-10-23,2122,Bayern Munich,Hoffenheim,1566.4,1501.5,64.90000000000009,0.8,0.5,0.75,0.375,3.625,2.125,1.0,1.375,0.33,0.33,0.33,0,0.7901,0.4452,0.3505,0.6528,0.5063,1.0,1.625,0.5517,0.2941,9.375,11.25,0
D1_20211023_Bielefeld_Dortmund,2021-10-23,2122,Bielefeld,Dortmund,1454.9,1548.1,-93.19999999999982,0.2,0.8,0.375,0.3333,0.5,2.75,1.375,1.75,0.33,0.33,0.33,0,0.2403,0.3146,0.3475,0.3836,0.5775,2.0,2.625,0.5,0.3636,9.5,13.375,2
D1_20211023_RB Leipzig_Greuther Furth,2021-10-23,2122,RB Leipzig,Greuther Furth,1507.2,1402.1,105.10000000000014,0.6,0.0,0.75,0.0,2.0,0.625,1.0,2.5,0.33,0.33,0.33,0,0.8048,0.4094,0.3373,0.5556,0.3973,1.375,2.25,0.3125,0.2,13.0,14.875,0
D1_20211023_Wolfsburg_Freiburg,2021-10-23,2122,Wolfsburg,Freiburg,1503.5,1555.1,-51.59999999999991,0.3,0.7,0.625,0.75,1.125,1.5,1.25,0.75,0.33,0.33,0.33,0,0.5132,0.3431,0.3854,0.5211,0.5294,3.0,1.0,0.4444,0.6667,12.75,14.25,2
D1_20211023_Hertha_M'gladbach,2021-10-23,2122,Hertha,M'gladbach,1484.4,1505.2,-20.799999999999955,0.6,0.7,0.3333,0.25,1.25,1.25,2.625,1.375,0.33,0.33,0.33,0,0.2874,0.3875,0.3258,0.4156,0.5811,1.875,2.125,0.4,0.6,13.125,14.0,0
D1_20211024_Bochum_Ein Frankfurt,2021-10-24,2122,Bochum,Ein Frankfurt,1464.4,1488.9,-24.5,0.3,0.5,0.5,0.5,0.625,1.125,2.0,1.5,0.33,0.33,0.33,0,0.3828,0.2561,0.3021,0.5167,0.4578,2.25,2.125,0.2,0.5556,12.375,11.875,0
D1_20211024_FC Koln_Leverkusen,2021-10-24,2122,FC Koln,Leverkusen,1509.4,1539.7,-30.299999999999955,0.5,0.6,0.875,0.875,1.625,2.625,1.75,1.5,0.33,0.33,0.33,0,0.5289,0.2881,0.4314,0.4865,0.6212,2.625,2.625,0.2308,0.5238,13.875,11.5,1
D1_20211024_Stuttgart_Union Berlin,2021-10-24,2122,Stuttgart,Union Berlin,1487.8,1537.7,-49.90000000000009,0.5,0.7,0.5,0.5,1.625,1.5,1.75,1.125,0.33,0.33,0.33,0,0.4309,0.4455,0.4194,0.4643,0.493,2.75,2.5,0.5385,0.3333,12.125,9.625,1
D1_20211029_Hoffenheim_Hertha,2021-10-29,2122,Hoffenheim,Hertha,1492.6,1496.8,-4.2000000000000455,0.5,0.6,0.625,0.4,1.8889,1.2222,1.6667,2.3333,0.33,0.33,0.33,0,0.5839,0.3396,0.3889,0.4941,0.4,1.8889,1.8889,0.2941,0.4545,10.4444,14.0,0
